,commit id,categories,commit_message
0,0b9ea98,"['Testing', 'Feature Add']","[CALCITE-1124] Add TIMESTAMPADD, TIMESTAMPDIFF functions (Arina Ielchiieva)

Close apache/calcite#204
"
1,980d9f8,['Refactoring'],"Move code from JdbcImplementor and JdbcRules to new class SqlImplementor
"
2,e9d5060,"['Testing', 'Bug fix', 'Feature Add']","[CALCITE-968] Stream-to-relation and stream-to-stream joins (Milinda Pathirage)

Rule to transform Delta(Scan(constant-table)) to Empty;
fix NullPointerException in PruneEmptyRules.
"
3,a63639b,"['Testing', 'Maintenance', 'Build', 'Feature Add']","[CALCITE-912] Add Avatica OpenConnectionRequest (Bruno Dumon)

Goal: passing of connection properties (the 'info') from the remote
avatica driver to the corresponding server-side connection.

Changes include:
 * in Meta: explicit opening of connections: there is a new
   openConnection() call. Client decides on the connection id.
   Implicit creation of unknown connections is gone.
 * JdbcMeta: default connection is gone, all methods have been
   extended with a connection id.
 * correspondingly, the various Service.Request's now carry a
   connection id (will make fixing CALCITE-871 easy)
 * (unrelated, but was useful for testing) more meaningful error
   messages in remote driver
"
4,a611d64,"['Module Move', 'Module Remove']","[CALCITE-296] Re-organize package structure;
[CALCITE-419] Naming convention for planner rules

This change only renames files (and deletes some obsolete files). There are no content changes.
"
5,c711fed,['Maintenance'],"[CALCITE-783] Infer collation of Project using monotonicity (Milinda Pathirage)

Close apache/incubator-calcite#104
"
6,5cee2a1,"['Testing', 'Build', 'Feature Add']","[CALCITE-785] Add ""Piglet"", a subset of Pig Latin on top of Calcite algebra

Includes a parser, DISTINCT, ORDER, LIMIT and GROUP commands, and an
incomplete nested FOREACH command.

Add tests based on examples in PigLatin reference.
"
7,8ddaf50,['Source Control'],"Revert changes introduced in BCEL-222 (rev 1694911).

In particular this means that the package coordinates have been changed
back from
  org.apache.commons.bcel6
to
  org.apache.bcel

Furthermore the maven coordinates have been changes back from
  org.apache.commons:commons-bcel6:6.0-SNAPSHOT
to
  org.apache.bcel:bcel:6.0-SNAPSHOT



git-svn-id: https://svn.apache.org/repos/asf/commons/proper/bcel/trunk@1747273 13f79535-47bb-0310-9956-ffa450edef68
"
8,9bebece,['Refactoring'],"Move methods to correct class

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/bcel/trunk@1702445 13f79535-47bb-0310-9956-ffa450edef68
"
9,2010565,['Bug fix'],"Bug 48908 - Select instructions should implement StackConsumer instead of StackProducer

git-svn-id: https://svn.apache.org/repos/asf/jakarta/bcel/trunk@1081190 13f79535-47bb-0310-9956-ffa450edef68
"
10,e5585e4,['Bug fix'],"Bug 49615 - BCELifier produces incorrect code for methods containing loads of class literals from constant pool - supplied by Bug 49615 - supplied by Tassos Bassoukos

git-svn-id: https://svn.apache.org/repos/asf/jakarta/bcel/trunk@965692 13f79535-47bb-0310-9956-ffa450edef68
"
11,129eca8,"['Testing', 'Bug fix']","applied patch for java6 from mcmartin@gmail.com

http://issues.apache.org/bugzilla/show_bug.cgi?id=41548




git-svn-id: https://svn.apache.org/repos/asf/jakarta/bcel/trunk@617862 13f79535-47bb-0310-9956-ffa450edef68
"
12,da4ec29,"['Testing', 'Maintenance', 'Feature Add']","GSoC: latest changes from Dmitriy Khayredinov

git-svn-id: https://svn.apache.org/repos/asf/jakarta/bcel/trunk@420672 13f79535-47bb-0310-9956-ffa450edef68
"
13,9640239,['Documentation'],"Document

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/bcel/trunk@1697258 13f79535-47bb-0310-9956-ffa450edef68
"
14,25d3c6f,['Documentation'],"add appropriate @Override and @Deprecated annotations

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/bcel/trunk@1152072 13f79535-47bb-0310-9956-ffa450edef68
"
15,6ed868d,"['Maintenance', 'Token Replace']","Rename SetUtils.identityHashSet to SetUtils.newIdentityHashSet to better reflect that it returns a new instance.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/collections/trunk@1682416 13f79535-47bb-0310-9956-ffa450edef68
"
16,90f4139,"['Testing', 'Maintenance']","[COLLECTIONS-511] Added CollectionUtils.partition(...) methods. Thanks to Brent Worden, Nathan Blomquist.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/collections/trunk@1648844 13f79535-47bb-0310-9956-ffa450edef68
"
17,83226e1,"['Testing', 'Clean up', 'Maintenance', 'Refactoring']","Refactor trie package: reduce interface by extending IterableSortedMap and only adding prefixMap method, remove all key analyzers but the StringKeyAnalyzer, refactor PatriciaTrie class by moving all remaining methods to AbstractPatriciaTrie and fixing the key type to String, integrating the test classes into the framework.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/collections/trunk@1492866 13f79535-47bb-0310-9956-ffa450edef68
"
18,c340a74,"['Testing', 'Maintenance', 'Clean up']","[COLLECTIONS-351] Removed Synchronized[List, Set, SortedSet] and replaced with calls to Collections.synchronizedXXX.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/collections/trunk@1457511 13f79535-47bb-0310-9956-ffa450edef68
"
19,a793612,['Build'],[COMPRESS-392] Add Brotli decoder based on the Google Brotli library.
